title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date,release_year,release_month,sales_sum
Majesco's Rec Room Challenge,GBA,Misc,Majesco,Skyworks Technologies,7.1,0.0,0.0,0.0,0.0,0.0,2005-10-12,2005.0,10.0,0.0
Beat Sketcher,PSN,Misc,Sony Computer Entertainment,"Will Co., Ltd. Noisycroak",7.1,0.0,0.0,0.0,0.0,0.0,2010-11-23,2010.0,11.0,0.0
My Baby and Me,Wii,Misc,Unknown,Unknown,7.1,0.0,0.0,0.0,0.0,0.0,,2008.0,0.0,0.0
Looney Tunes Double Pack: Dizzy Driving / Acme Antics,GBA,Misc,Majesco,Warner Bros. Interactive Entertainment,7.1,0.0,0.0,0.0,0.0,0.0,2005-10-01,2005.0,10.0,0.0
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GBA,Misc,Acclaim Entertainment,Powerhead Games,7.1,0.0,0.0,0.0,0.0,0.0,2002-10-28,2002.0,10.0,0.0
My Spanish Coach Level 2: Intermediate,DS,Misc,Ubisoft,Ubisoft,7.1,0.0,0.0,0.0,0.0,0.0,2007-11-23,2007.0,11.0,0.0
Everything's Rosie,DS,Misc,Avanquest Software,Avanquest Software,7.1,0.0,0.0,0.0,0.0,0.0,2013-01-25,2013.0,1.0,0.0
Maestro! Jump in Music,DS,Misc,Neko Entertainment,Pasta Games!,7.1,0.0,0.0,0.0,0.0,0.0,2009-11-30,2009.0,11.0,0.0
"SpongeBob SquarePants: Lights, Camera, Pants!",PC,Misc,THQ,"AWE Productions, Inc.",7.1,0.0,0.0,0.0,0.0,0.0,2005-10-19,2005.0,10.0,0.0
Rabbids Invasion: The Interactive TV Show,X360,Misc,Ubisoft,Ubisoft Paris,7.1,0.0,0.0,0.0,0.0,0.0,2014-11-18,2014.0,11.0,0.0
Scene It? Twilight,PC,Misc,Konami,Artificial Mind and Movement,7.1,0.0,0.0,0.0,0.0,0.0,2010-03-19,2010.0,3.0,0.0
Mega Minis Volume 1,PSP,Misc,Sony Computer Entertainment,Various,7.1,0.0,0.0,0.0,0.0,0.0,2011-04-29,2011.0,4.0,0.0
Ninja Captains,Wii,Misc,Nordcurrent,In-house,7.1,0.0,0.0,0.0,0.0,0.0,2009-10-16,2009.0,10.0,0.0
Sea Legends: Phantasmal Light,PC,Misc,Big Fish Games,Unknown,7.1,0.0,0.0,0.0,0.0,0.0,2012-01-16,2012.0,1.0,0.0
