title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date,release_year,release_month,sales_sum
Madden NFL 25,PS3,Sports,Electronic Arts,EA Tiburon,7.5,2.04,1.62,0.0,0.03,0.38,2013-08-27,2013.0,8.0,2.0300000000000002
NBA Live 2004,PS2,Sports,EA Sports,EA Canada,7.8,2.03,1.57,0.0,0.18,0.27,2003-10-14,2003.0,10.0,2.02
Skate 3,PS3,Sports,EA Sports,EA Black Box,7.8,2.03,0.79,0.0,0.93,0.32,2010-05-11,2010.0,5.0,2.04
Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,Ubisoft Paris,7.1,2.03,0.72,0.0,1.08,0.23,2008-11-18,2008.0,11.0,2.0300000000000002
The Sims 3,PS3,Simulation,Electronic Arts,The Sims Studio,8.1,2.03,0.73,0.02,0.96,0.31,2010-10-26,2010.0,10.0,2.02
NBA 2K18,XOne,Sports,2K Sports,Visual Concepts,7.7,2.02,1.67,0.0,0.14,0.21,2017-09-19,2017.0,9.0,2.02
Rocket League,PS4,Sports,505 Games,Psyonix Studios,8.7,2.02,0.37,0.0,1.34,0.31,2016-07-05,2016.0,7.0,2.02
Just Dance 3,X360,Misc,Ubisoft,Ubisoft Paris,5.5,2.02,1.47,0.0,0.39,0.16,2011-10-07,2011.0,10.0,2.02
Need for Speed: The Run,PS3,Racing,Electronic Arts,EA Black Box,6.3,2.01,0.58,0.03,1.05,0.35,2011-11-15,2011.0,11.0,2.0100000000000002
Call of Duty: Black Ops 3,X360,Shooter,Activision,Treyarch,7.5,2.01,1.36,0.0,0.47,0.19,2015-11-06,2015.0,11.0,2.02
TouchMaster,DS,Puzzle,Midway Games,Midway Studios San Diego,6.9,2.0,0.48,0.0,1.27,0.24,2007-06-25,2007.0,6.0,1.99
Dead Space,PS3,Shooter,Electronic Arts,EA Redwood Shores,8.9,2.0,1.05,0.0,0.66,0.29,2008-10-13,2008.0,10.0,2.0
Tenchu: Stealth Assassins,PS,Action,Activision,Acquire,8.8,1.99,0.95,0.27,0.64,0.13,1998-08-31,1998.0,8.0,1.9899999999999998
Harry Potter and the Chamber of Secrets,GBA,Adventure,Electronic Arts,Eurocom Entertainment Software,7.2,1.99,1.21,0.05,0.64,0.09,2002-11-14,2002.0,11.0,1.99
Mortal Kombat vs DC Universe,X360,Fighting,Midway Games,Midway Amusement Games,7.6,1.99,1.58,0.0,0.23,0.18,2008-11-16,2008.0,11.0,1.99
Harry Potter and the Chamber of Secrets,PS,Adventure,Electronic Arts,Argonaut Games,7.1,1.98,0.75,0.02,1.09,0.12,2002-11-14,2002.0,11.0,1.98
Just Cause 3,PS4,Action-Adventure,Square Enix,Avalanche Studios,7.5,1.98,0.53,0.09,1.07,0.3,2015-12-01,2015.0,12.0,1.99
Dishonored 2,PS4,Action,Bethesda Softworks,Arkane Studios,6.8,1.97,0.62,0.01,1.02,0.31,2016-11-10,2016.0,11.0,1.96
E.T.: The Extra Terrestrial,2600,Action,Atari,Atari,6.8,1.97,1.84,0.0,0.11,0.02,1982-01-01,1982.0,1.0,1.9700000000000002
Resident Evil 6,X360,Action,Capcom,Capcom,6.8,1.97,1.12,0.07,0.61,0.16,2012-10-02,2012.0,10.0,1.9600000000000002
BioShock Infinite,X360,Shooter,2K Games,Irrational Games,7.5,1.97,1.22,0.02,0.55,0.18,2013-03-26,2013.0,3.0,1.97
Spyro: Enter the Dragonfly,PS2,Platform,VU Games,Check Six Games,7.0,1.97,0.74,0.0,0.95,0.28,2002-11-03,2002.0,11.0,1.97
Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.4,1.96,0.5,0.63,0.5,0.33,2005-05-03,2005.0,5.0,1.96
Lego Marvel Super Heroes,PS3,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.8,1.96,0.77,0.01,0.85,0.32,2013-10-22,2013.0,10.0,1.95
Call of Duty: Black Ops 3,PS3,Shooter,Activision,Treyarch,7.5,1.95,0.65,0.07,0.92,0.3,2015-11-06,2015.0,11.0,1.9400000000000002
NBA Street Vol. 2,PS2,Sports,EA Sports BIG,EA Canada,7.8,1.95,1.69,0.0,0.2,0.06,2003-04-28,2003.0,4.0,1.95
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,Ubisoft Montreal,8.8,1.95,1.09,0.02,0.65,0.2,2006-11-20,2006.0,11.0,1.9600000000000002
Grand Theft Auto: San Andreas,XB,Action,Rockstar Games,Rockstar North,9.2,1.95,1.26,0.0,0.61,0.09,2005-06-07,2005.0,6.0,1.9600000000000002
Star Wars: Dark Forces,PC,Shooter,LucasArts,LucasArts,7.5,1.95,1.09,0.0,0.77,0.09,1995-02-28,1995.0,2.0,1.9500000000000002
Crash Nitro Kart,PS2,Racing,VU Games,Vicarious Visions,7.4,1.95,0.74,0.0,1.01,0.2,2003-11-13,2003.0,11.0,1.95
Burnout Paradise,PS3,Racing,Electronic Arts,Criterion Games,9.0,1.95,1.01,0.02,0.63,0.28,2008-01-22,2008.0,1.0,1.9400000000000002
Scooby Doo and the Cyber Chase,PS,Adventure,THQ,Art,7.1,1.94,0.59,0.0,1.23,0.13,2001-10-04,2001.0,10.0,1.9499999999999997
Tom Clancy's Ghost Recon,PS2,Shooter,Ubisoft,Red Storm Entertainment,7.5,1.94,1.42,0.0,0.4,0.12,2002-11-11,2002.0,11.0,1.94
Call of Duty: World at War,Wii,Shooter,Activision,EXAKT Entertainment,8.1,1.94,1.17,0.0,0.58,0.18,2008-11-10,2008.0,11.0,1.93
Def Jam Vendetta,PS2,Fighting,EA Sports BIG,Aki Corporation,7.6,1.94,0.95,0.0,0.74,0.25,2003-03-31,2003.0,3.0,1.94
Forza Horizon,X360,Racing,Microsoft Studios,Playground Games,7.4,1.94,0.82,0.04,0.94,0.16,2012-10-23,2012.0,10.0,1.9599999999999997
Destiny,X360,Misc,Activision,Unknown,7.1,1.94,1.32,0.0,0.44,0.19,2014-09-09,2014.0,9.0,1.95
Jet Moto 2,PS,Racing,Sony Computer Entertainment,SingleTrac,7.4,1.94,1.41,0.03,0.42,0.07,1997-10-31,1997.0,10.0,1.93
FIFA Soccer 09,X360,Sports,Electronic Arts,EA Canada,8.7,1.94,0.49,0.01,1.26,0.18,2008-10-14,2008.0,10.0,1.94
X-Men Legends,PS2,Role-Playing,Activision,Raven Software,8.6,1.93,1.0,0.0,0.72,0.21,2004-09-21,2004.0,9.0,1.93
Virtua Fighter 2,SAT,Fighting,Sega,Sega-AM2,7.6,1.93,0.34,1.3,0.26,0.03,1996-01-01,1996.0,1.0,1.9300000000000002
Mortal Kombat II,SNES,Fighting,Acclaim Entertainment,Sculptured Software,7.6,1.93,1.48,0.0,0.39,0.06,1994-01-01,1994.0,1.0,1.9300000000000002
The Sims: Makin' Magic,PC,Simulation,Electronic Arts,Maxis,7.0,1.92,1.03,0.0,0.8,0.09,2003-10-28,2003.0,10.0,1.9200000000000002
The Legend of Zelda: Oracle of Ages,GBC,Adventure,Nintendo,Flagship,9.4,1.92,0.92,0.41,0.53,0.06,2001-05-13,2001.0,5.0,1.9200000000000002
Guitar Hero: World Tour,PS3,Misc,Activision,Neversoft Entertainment,8.5,1.92,1.1,0.0,0.55,0.27,2008-10-26,2008.0,10.0,1.9200000000000002
Star Wars Battlefront II (2017),XOne,Shooter,Electronic Arts,EA DICE,7.5,1.92,1.15,0.0,0.59,0.17,2017-11-17,2017.0,11.0,1.9099999999999997
Red Faction,PS2,Shooter,THQ,Volition Inc.,9.1,1.92,0.76,0.0,0.96,0.2,2001-05-21,2001.0,5.0,1.92
MX Unleashed,PS2,Racing,THQ,Rainbow Studios,7.4,1.92,0.94,0.0,0.73,0.25,2004-02-17,2004.0,2.0,1.92
Lego Marvel Super Heroes,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.8,1.91,0.59,0.01,1.0,0.3,2013-11-15,2013.0,11.0,1.9000000000000001
Madden NFL 18,XOne,Sports,EA Sports,EA Tiburon,8.8,1.91,1.63,0.0,0.07,0.2,2017-08-25,2017.0,8.0,1.9
Need for Speed: Shift,X360,Racing,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.01,0.96,0.22,2009-09-15,2009.0,9.0,1.92
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,Factor 5,9.2,1.9,1.03,0.03,0.75,0.09,2001-11-09,2001.0,11.0,1.9000000000000001
Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.01,0.87,0.16,2013-03-05,2013.0,3.0,1.9
Batman: Arkham Origins,X360,Action-Adventure,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,7.65,1.9,1.15,0.0,0.58,0.17,2013-10-25,2013.0,10.0,1.9
Toy Story Mania!,Wii,Misc,Disney Interactive Studios,Papaya Studios,7.1,1.89,1.04,0.0,0.66,0.19,2009-09-15,2009.0,9.0,1.8900000000000001
Madden NFL 09,PS3,Sports,EA Sports,EA Tiburon,8.6,1.89,1.56,0.0,0.15,0.18,2008-08-12,2008.0,8.0,1.89
Monopoly,Wii,Misc,Electronic Arts,EA Bright Light,7.1,1.89,0.86,0.0,0.83,0.2,2008-10-20,2008.0,10.0,1.89
Minecraft,NS,Sandbox,Mojang,4J Studios,9.2,1.89,0.69,0.52,0.56,0.12,2018-06-21,2018.0,6.0,1.8900000000000001
Hot Shots Golf 2,PS,Sports,Sony Computer Entertainment,Clap Hanz,7.8,1.88,0.25,1.48,0.12,0.03,2000-02-29,2000.0,2.0,1.8800000000000001
Mortal Kombat: Deception,PS2,Fighting,Midway Games,Midway Games,7.4,1.88,0.92,0.0,0.72,0.24,2004-10-04,2004.0,10.0,1.8800000000000001
Game Party 2,Wii,Misc,Midway Games,FarSight Studios,7.1,1.88,1.28,0.0,0.44,0.17,2008-10-06,2008.0,10.0,1.89
Medal of Honor: European Assault (All Region sales),PS2,Shooter,Electronic Arts,EA Los Angeles,7.5,1.88,0.89,0.09,0.69,0.21,2005-06-07,2005.0,6.0,1.88
WCW Nitro,PS,Fighting,THQ,Inland Productions,7.6,1.88,1.42,0.03,0.36,0.07,1998-01-31,1998.0,1.0,1.8800000000000001
FIFA 2000,PS,Sports,EA Sports,EA Canada,8.8,1.87,0.22,0.04,1.47,0.14,1999-10-09,1999.0,10.0,1.87
High School Musical: Sing It!,PS2,Misc,Disney Interactive Studios,Artificial Mind and Movement,7.1,1.87,0.47,0.0,0.08,1.33,2007-10-30,2007.0,10.0,1.88
inFAMOUS 2,PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87,1.05,0.08,0.48,0.26,2011-06-07,2011.0,6.0,1.87
SingStar,PS2,Misc,Sony Computer Entertainment,SCEE London Studio,8.0,1.86,0.0,0.0,1.37,0.49,2004-05-21,2004.0,5.0,1.86
The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,SCEI,7.8,1.86,0.94,0.39,0.44,0.1,2000-06-11,2000.0,6.0,1.87
Sonic Classic Collection,DS,Platform,Sega,Sonic Team,7.5,1.86,0.94,0.0,0.74,0.18,2010-03-02,2010.0,3.0,1.8599999999999999
The Legend of Zelda: Oracle of Seasons,GBC,Adventure,Nintendo,Flagship,9.3,1.86,0.87,0.41,0.52,0.06,2001-05-13,2001.0,5.0,1.86
The Evil Within,PS4,Action,Bethesda Softworks,Tango Gameworks,7.7,1.86,0.56,0.11,0.9,0.28,2014-10-14,2014.0,10.0,1.85
Shrek 2,PS2,Platform,Activision,"Luxoflux, Inc.",6.9,1.86,1.12,0.03,0.69,0.02,2004-04-28,2004.0,4.0,1.86
Star Wars: The Force Unleashed,Wii,Action,LucasArts,Krome Studios,6.8,1.86,1.11,0.0,0.56,0.19,2008-09-16,2008.0,9.0,1.86
Max Payne 3,PS3,Shooter,Rockstar Games,Rockstar Vancouver,7.5,1.86,0.59,0.06,0.93,0.27,2012-05-15,2012.0,5.0,1.85
NBA Live 2002,PS2,Sports,EA Sports,EA Canada,7.8,1.86,0.91,0.0,0.71,0.24,2001-10-29,2001.0,10.0,1.86
Madden NFL 06,XB,Sports,EA Sports,EA Tiburon,7.8,1.86,1.75,0.0,0.03,0.08,2005-08-08,2005.0,8.0,1.86
Phineas and Ferb,DS,Action,Disney Interactive Studios,Disney Interactive Studios,6.8,1.85,1.33,0.0,0.37,0.15,2009-02-03,2009.0,2.0,1.85
Jak 3,PS2,Platform,Sony Computer Entertainment,Naughty Dog,7.0,1.85,1.33,0.0,0.49,0.03,2004-11-09,2004.0,11.0,1.85
Forza Horizon 4,XOne,Racing,Microsoft Studios,Playground Games,9.2,1.84,0.74,0.01,0.95,0.15,2018-10-02,2018.0,10.0,1.8499999999999999
Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,Ubisoft Paris,6.6,1.84,0.82,0.0,0.82,0.2,2007-11-15,2007.0,11.0,1.8399999999999999
NCAA Football 06,PS2,Sports,EA Sports,EA Tiburon,7.8,1.84,1.53,0.0,0.05,0.25,2005-07-11,2005.0,7.0,1.83
Gran Turismo Concept 2001 Tokyo,PS2,Racing,Unknown,Polyphony Digital,7.4,1.84,0.0,0.42,1.1,0.33,,2008.0,0.0,1.85
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Misc,THQ,Sega,7.1,1.83,1.31,0.0,0.49,0.03,2005-11-11,2005.0,11.0,1.83
Jet Moto,PS,Racing,Sony Computer Entertainment,SingleTrac,7.4,1.83,1.33,0.03,0.4,0.07,1996-10-31,1996.0,10.0,1.8300000000000003
The Elder Scrolls V: Skyrim Special Edition,XOne,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.1,1.83,1.13,0.0,0.53,0.17,2016-10-28,2016.0,10.0,1.8299999999999998
Watch Dogs,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,7.65,1.83,0.56,0.1,0.89,0.28,2014-05-27,2014.0,5.0,1.83
BioShock Infinite,PS3,Shooter,2K Games,Irrational Games,9.5,1.82,0.74,0.04,0.74,0.3,2013-03-26,2013.0,3.0,1.82
Sonic & Knuckles,GEN,Platform,Sega,Sonic Team,7.0,1.82,1.24,0.03,0.43,0.12,1994-10-17,1994.0,10.0,1.8199999999999998
Namco Museum,PS2,Misc,Namco,Mass Media,7.1,1.82,1.73,0.0,0.07,0.02,2001-12-04,2001.0,12.0,1.82
The Orange Box,X360,Shooter,Electronic Arts,Valve Software,9.7,1.82,1.09,0.02,0.53,0.17,2007-10-10,2007.0,10.0,1.81
Dragon Quest XI,3DS,Role-Playing,Square Enix,Square Enix,7.5,1.82,0.0,1.82,0.0,0.0,2017-07-29,2017.0,7.0,1.82
The Sims: Hot Date,PC,Simulation,Electronic Arts,Maxis,7.0,1.82,1.81,0.0,0.0,0.0,2001-11-21,2001.0,11.0,1.81
Crazy Taxi,DC,Racing,Sega,Hitmaker,9.3,1.81,1.1,0.12,0.51,0.08,2000-01-24,2000.0,1.0,1.8100000000000003
DDRMAX2: Dance Dance Revolution,PS2,Simulation,Konami,Konami Computer Entertainment Tokyo,7.0,1.81,1.05,0.0,0.59,0.18,2003-09-23,2003.0,9.0,1.82
Sly 2: Band of Thieves,PS2,Platform,Sony Computer Entertainment,Sucker Punch,7.0,1.81,0.88,0.0,0.69,0.23,2004-09-14,2004.0,9.0,1.7999999999999998
NBA 2K11,PS3,Sports,2K Sports,Visual Concepts,7.8,1.81,1.41,0.03,0.21,0.16,2010-10-05,2010.0,10.0,1.8099999999999998
NFL GameDay 2000,PS,Sports,989 Studios,Red Zone Entertainment,7.8,1.8,1.0,0.0,0.68,0.12,1999-07-31,1999.0,7.0,1.8000000000000003
Sonic Advance 2,GBA,Platform,Sega,Dimps Corporation / Sonic Team,7.0,1.8,0.93,0.21,0.59,0.07,2003-03-09,2003.0,3.0,1.8
Guitar Hero: World Tour,PS2,Misc,Activision,BudCat Creations,7.1,1.8,1.0,0.0,0.03,0.77,2008-10-26,2008.0,10.0,1.8
The Crew,PS4,Racing,Ubisoft,Ubisoft Reflections,7.4,1.79,0.44,0.03,1.04,0.27,2014-12-02,2014.0,12.0,1.78
LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,Traveller's Tales,7.5,1.79,1.01,0.0,0.62,0.15,2011-03-22,2011.0,3.0,1.7799999999999998
The Lion King,SNES,Platform,Virgin Interactive,Westwood Studios,7.0,1.79,1.26,0.08,0.39,0.06,1994-10-01,1994.0,10.0,1.79
SpongeBob SquarePants: SuperSponge,PS,Action,THQ,Climax Group,6.8,1.78,1.12,0.0,0.58,0.08,2001-09-21,2001.0,9.0,1.7800000000000002
The Getaway: Black Monday,PS2,Action,Sony Computer Entertainment,Team Soho,6.8,1.78,0.39,0.02,1.01,0.36,2005-01-11,2005.0,1.0,1.7799999999999998
Midnight Club II,PS2,Racing,Rockstar Games,Rockstar San Diego,7.4,1.78,1.25,0.0,0.29,0.24,2003-04-09,2003.0,4.0,1.78
Far Cry 5,XOne,Action,Ubisoft,Ubisoft Montreal,7.2,1.78,1.14,0.0,0.47,0.17,2018-03-27,2018.0,3.0,1.7799999999999998
50 Cent: Bulletproof,PS2,Action,Vivendi Games,Genuine,6.8,1.77,0.85,0.0,0.76,0.16,2005-11-17,2005.0,11.0,1.7699999999999998
State of Emergency,PS2,Action,Rockstar Games,VIS Entertainment,8.0,1.76,0.86,0.0,0.67,0.22,2002-02-12,2002.0,2.0,1.75
Star Wars: Starfighter,PS2,Simulation,LucasArts,LucasArts,7.0,1.76,0.61,0.02,0.87,0.26,2001-02-19,2001.0,2.0,1.76
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Action,THQ,Helixe / Altron,6.8,1.76,1.26,0.0,0.47,0.03,2007-02-27,2007.0,2.0,1.76
UFC 2009 Undisputed,PS3,Fighting,THQ,Yuke's Osaka,8.4,1.76,1.07,0.01,0.45,0.24,2009-05-19,2009.0,5.0,1.77
Dragon's Dogma,PS3,Role-Playing,Capcom,Capcom,7.5,1.76,0.41,0.72,0.48,0.16,2012-05-22,2012.0,5.0,1.7699999999999998
The SpongeBob SquarePants Movie,PS2,Platform,THQ,Heavy Iron Studios,6.6,1.76,1.06,0.0,0.54,0.16,2004-10-27,2004.0,10.0,1.76
Sonic the Hedgehog 3,GEN,Platform,Sega,Sonic Team,7.0,1.76,1.02,0.2,0.47,0.07,1994-01-23,1994.0,1.0,1.76
Def Jam: Fight for NY,PS2,Fighting,Electronic Arts,AKI Corporation / EA Canada,7.6,1.76,0.86,0.0,0.67,0.22,2004-09-20,2004.0,9.0,1.75
Tom Clancy's Ghost Recon,XB,Shooter,Ubisoft,Red Storm Entertainment,7.5,1.76,1.23,0.0,0.46,0.07,2002-11-11,2002.0,11.0,1.76
WWF Attitude,PS,Fighting,Acclaim Entertainment,Acclaim Entertainment,7.6,1.76,1.27,0.0,0.42,0.07,1999-07-31,1999.0,7.0,1.76
High School Musical: Sing It!,Wii,Misc,Disney Interactive Studios,Artificial Mind and Movement,6.4,1.76,1.15,0.0,0.45,0.16,2007-10-30,2007.0,10.0,1.7599999999999998
The Urbz: Sims in the City,PS2,Simulation,Electronic Arts,Maxis,7.0,1.76,0.52,0.0,0.95,0.29,2004-11-09,2004.0,11.0,1.76
Just Cause 2,PS3,Action,Square Enix,Avalanche Studios,8.3,1.75,0.45,0.06,0.92,0.32,2010-03-23,2010.0,3.0,1.7500000000000002
For Honor,PS4,Action,Ubisoft,Ubisoft Montreal,6.8,1.75,0.73,0.07,0.66,0.28,2017-02-14,2017.0,2.0,1.74
Madden NFL 2000,PS,Sports,EA Sports,EA Tiburon,7.8,1.75,1.68,0.0,0.04,0.04,1999-07-31,1999.0,7.0,1.76
Pro Evolution Soccer,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,7.8,1.75,0.06,0.53,0.9,0.27,2001-11-24,2001.0,11.0,1.7600000000000002
2 Games in 1: Disney Princess & The Lion King,GBA,Misc,THQ,Various,7.1,1.75,1.25,0.0,0.46,0.03,2004-12-01,2004.0,12.0,1.74
Star Wars Battlefront,XB,Shooter,LucasArts,Pandemic Studios,7.5,1.75,1.24,0.0,0.45,0.07,2004-09-20,2004.0,9.0,1.76
Dance Dance Revolution X,PS2,Simulation,Konami,Konami Computer Entertainment Tokyo,7.0,1.75,0.85,0.01,0.66,0.22,2008-09-12,2008.0,9.0,1.74
FIFA Soccer 08,PS3,Sports,EA Sports,EA Canada,8.5,1.75,0.35,0.02,1.07,0.31,2007-10-09,2007.0,10.0,1.75
Star Wars Episode I: The Phantom Menace,PS,Adventure,LucasArts,Big Ape Productions,7.1,1.74,0.72,0.04,0.89,0.1,1999-08-31,1999.0,8.0,1.75
NBA 2K15,XOne,Sports,2K Sports,Visual Concepts,7.8,1.74,1.39,0.0,0.18,0.18,2014-10-07,2014.0,10.0,1.7499999999999998
NBA 2K19,XOne,Sports,2K Sports,Visual Concepts,7.8,1.74,1.47,0.0,0.08,0.18,2018-09-11,2018.0,9.0,1.73
Mortal Kombat X,XOne,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,7.6,1.74,1.34,0.0,0.23,0.18,2015-04-14,2015.0,4.0,1.75
Shadow of the Tomb Raider,PS4,Action-Adventure,Square Enix,Eidos Montreal,7.65,1.74,0.59,0.06,0.82,0.27,2018-09-14,2018.0,9.0,1.7399999999999998
Crash Bandicoot: The Huge Adventure,GBA,Platform,Vivendi Games,Vicarious Visions,8.3,1.73,0.95,0.0,0.7,0.08,2002-02-25,2002.0,2.0,1.73
Twisted Metal III,PS,Action,989 Studios,989 Studios,4.4,1.73,1.48,0.0,0.2,0.05,1998-10-31,1998.0,10.0,1.73
Harry Potter and the Sorcerer's Stone,GB,Action,Electronic Arts,Griptonite Games,6.8,1.73,0.94,0.1,0.62,0.07,2001-11-21,2001.0,11.0,1.7300000000000002
SSX Tricky,PS2,Sports,EA Sports BIG,EA Canada,9.2,1.73,0.85,0.0,0.66,0.22,2001-11-05,2001.0,11.0,1.73
Dishonored,X360,Shooter,Bethesda Softworks,Arkane Studios,7.5,1.72,1.06,0.01,0.5,0.15,2013-04-16,2013.0,4.0,1.72
Call of Duty: World at War Final Fronts,PS2,Shooter,Activision,Rebellion Developments,6.8,1.72,0.61,0.0,0.18,0.94,2008-11-10,2008.0,11.0,1.73
Injustice 2,PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,7.6,1.72,0.88,0.0,0.54,0.29,2017-05-16,2017.0,5.0,1.71
Hot Shots Golf Fore!,PS2,Sports,Sony Computer Entertainment,Clap Hanz,7.8,1.72,0.27,1.34,0.11,0.0,2004-08-17,2004.0,8.0,1.7200000000000002
Game Party 3,Wii,Puzzle,Warner Bros. Interactive,FarSight Studios,7.3,1.72,1.43,0.0,0.16,0.13,2009-10-06,2009.0,10.0,1.7199999999999998
Deal or No Deal,DS,Misc,"Destination Software, Inc",Global Star,7.1,1.72,1.16,0.0,0.4,0.16,2007-07-23,2007.0,7.0,1.72
Madden NFL 2005,XB,Sports,EA Sports,EA Tiburon,7.8,1.72,1.61,0.0,0.03,0.08,2004-08-09,2004.0,8.0,1.7200000000000002
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,Rockstar Games,Rockstar North,9.7,1.72,0.85,0.0,0.66,0.22,2003-10-21,2003.0,10.0,1.73
Titanfall 2,PS4,Shooter,Electronic Arts,Respawn Entertainment,8.9,1.72,0.75,0.06,0.62,0.28,2016-10-28,2016.0,10.0,1.7100000000000002
Tetris Worlds,GBA,Puzzle,THQ,3d6 Games,7.3,1.71,1.25,0.0,0.39,0.06,2001-09-05,2001.0,9.0,1.7000000000000002
Need for Speed Underground,XB,Racing,Electronic Arts,EA Black Box,7.4,1.71,1.09,0.0,0.55,0.07,2003-11-17,2003.0,11.0,1.7100000000000002
The Beatles: Rock Band,Wii,Misc,MTV Games,Harmonix Music Systems,9.0,1.71,1.17,0.0,0.39,0.15,2009-09-09,2009.0,9.0,1.71
Portal 2,PS3,Shooter,Valve,Valve Software,9.6,1.71,0.83,0.02,0.62,0.24,2011-04-19,2011.0,4.0,1.71
Toy Story 2: Buzz Lightyear to the Rescue!,PS,Platform,Activision,Traveller's Tales,7.0,1.71,0.99,0.0,0.64,0.08,1999-11-30,1999.0,11.0,1.71
Imagine: Teacher,DS,Simulation,Ubisoft,Magic Pockets,7.0,1.71,0.7,0.0,0.83,0.19,2008-08-12,2008.0,8.0,1.7199999999999998
Call of Duty: Modern Warfare 3,PC,Shooter,Activision,Infinity Ward,8.0,1.71,0.41,0.0,0.99,0.31,2011-11-08,2011.0,11.0,1.71
Call of Duty Black Ops: Declassified,PSV,Shooter,Activision,Nihilistic,3.2,1.71,0.74,0.07,0.52,0.38,2012-11-13,2012.0,11.0,1.71
Super Puyo Puyo,SNES,Puzzle,Banpresto,Compile,7.3,1.7,0.0,1.69,0.0,0.01,1993-12-10,1993.0,12.0,1.7
FIFA Soccer 10,PS2,Sports,EA Sports,EA Canada,7.8,1.7,0.23,0.0,0.24,1.23,2009-10-20,2009.0,10.0,1.7
Cabela's Big Game Hunter 2010,Wii,Sports,Activision,Cauldron,5.5,1.7,1.58,0.0,0.0,0.12,2009-09-29,2009.0,9.0,1.7000000000000002
Ben 10: Protector of Earth,DS,Action,D3 Publisher,1st Playable Productions,6.8,1.7,0.68,0.0,0.82,0.19,2007-10-30,2007.0,10.0,1.69
Hitman: Absolution,X360,Action,Square Enix,IO Interactive,6.8,1.7,0.68,0.01,0.88,0.13,2012-11-20,2012.0,11.0,1.7000000000000002
NCAA Football 07,PS2,Sports,Electronic Arts,EA Sports,8.9,1.7,1.41,0.0,0.05,0.23,2006-07-18,2006.0,7.0,1.69
The Sims 3: Late Night Expansion Pack,PC,Simulation,Electronic Arts,The Sims Studio,7.5,1.69,0.59,0.0,0.88,0.22,2010-10-26,2010.0,10.0,1.69
Cooking Mama 3: Shop & Chop,DS,Simulation,505 Games,Cooking Mama Ltd.,7.0,1.69,0.79,0.08,0.66,0.17,2009-10-20,2009.0,10.0,1.7
Tomodachi Collection: New Life,3DS,Simulation,Nintendo,Nintendo,7.0,1.69,0.0,1.69,0.0,0.0,2013-04-13,2013.0,4.0,1.69
SOCOM 3: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,7.5,1.69,1.22,0.04,0.34,0.1,2005-10-11,2005.0,10.0,1.7000000000000002
Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.08,0.66,0.08,2001-11-15,2001.0,11.0,1.69
LEGO Batman 2: DC Super Heroes,X360,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,7.65,1.69,0.9,0.0,0.64,0.15,2012-06-26,2012.0,6.0,1.69
Saints Row IV,X360,Action,Deep Silver,Volition Inc.,6.8,1.69,1.01,0.01,0.51,0.15,2013-08-20,2013.0,8.0,1.68
Jampack Winter '99,PS,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,7.1,1.69,0.94,0.0,0.64,0.11,1999-10-01,1999.0,10.0,1.6900000000000002
WCW vs. nWo: World Tour,N64,Fighting,THQ,Aki Corp.,7.6,1.69,1.37,0.03,0.28,0.02,1997-11-16,1997.0,11.0,1.7000000000000002
Dragon Ball Z: The Legacy of Goku,GBA,Role-Playing,Infogrames,Webfoot Technologies,6.5,1.69,1.52,0.0,0.12,0.05,2002-05-14,2002.0,5.0,1.6900000000000002
Need for Speed: Undercover,X360,Racing,Electronic Arts,EA Vancouver,6.3,1.69,0.8,0.01,0.7,0.18,2008-11-17,2008.0,11.0,1.69
